"SITECODE","loss_year","pixel_count","year","disturbed_ha"
"BG0002104",1,8.39945915341377,2001,0.75595132380724
"BG0002104",2,2,2002,0.18
"BG0002104",5,7.18531487882137,2005,0.646678339093924
"BG0002104",6,4,2006,0.36
"BG0002104",7,2,2007,0.18
"BG0002104",11,1,2011,0.09
"BG0002104",12,2,2012,0.18
"BG0002104",19,8,2019,0.72
"BG0002104",20,3,2020,0.27
"CY3000006",2,1.07154701650143,2002,0.0964392314851284
"CZ0212025",4,16.0503002107143,2004,1.44452701896429
"CZ0212025",6,0.0734081044793129,2006,0.00660672940313816
"CZ0212025",8,2,2008,0.18
"CZ0212025",9,0.556387484073639,2009,0.0500748735666275
"CZ0212025",21,6.37673111259937,2021,0.573905800133944
"CZ0714772",1,6,2001,0.54
"CZ0714772",2,8.93128371238708,2002,0.803815534114838
"CZ0714772",5,114.76824399874,2005,10.3291419598866
"CZ0714772",6,6,2006,0.54
"CZ0714772",7,12.6051034927368,2007,1.13445931434631
"CZ0714772",8,10.1895241439342,2008,0.917057172954083
"CZ0714772",9,7.33413532376289,2009,0.66007217913866
"CZ0714772",10,15,2010,1.35
"CZ0714772",11,161.873642094433,2011,14.568627788499
"CZ0714772",12,6,2012,0.54
"CZ0714772",13,11.804379761219,2013,1.06239417850971
"CZ0714772",14,110.523163974285,2014,9.94708475768566
"CZ0714772",15,29.4688546508551,2015,2.65219691857696
"CZ0714772",16,407.115037416432,2016,36.6403533674789
"CZ0714772",17,540.928518381734,2017,48.683566654356
"CZ0714772",18,373.694706654409,2018,33.6325235988968
"CZ0714772",19,39.2133992686868,2019,3.52920593418181
"CZ0714772",20,0.999886691570282,2020,0.0899898022413254
"CZ0714772",21,2.50906057655811,2021,0.22581545189023
"CZ0714772",22,23,2022,2.07
"CZ0714772",23,63.9678161032498,2023,5.75710344929248
"CY4000001",19,14.65580534935,2019,1.3190224814415
"CY4000002",1,2,2001,0.18
"CY4000002",2,6,2002,0.54
"CY4000002",3,7.88192144036293,2003,0.709372929632664
"CY4000002",4,13.4339611381292,2004,1.20905650243163
"CY4000002",5,1,2005,0.09
"CY4000002",6,2,2006,0.18
"CY4000002",7,1,2007,0.09
"CY4000002",10,4,2010,0.36
"CY4000002",11,6,2011,0.54
"CY4000002",16,49.5436346530914,2016,4.45892711877823
"CY4000002",17,1,2017,0.09
"CY4000002",18,1.85244458913803,2018,0.166720013022423
"CY4000002",21,5,2021,0.45
"CY4000003",1,17.5367413163185,2001,1.57830671846867
"CY4000003",2,8,2002,0.72
"CY4000003",5,1,2005,0.09
"CY4000003",6,4,2006,0.36
"CY4000003",7,2.34363085031509,2007,0.210926776528358
"CY4000003",10,1.46264556050301,2010,0.131638100445271
"CY4000003",12,1,2012,0.09
"CY4000003",13,2,2013,0.18
"CY4000003",16,2,2016,0.18
"CY4000003",19,7,2019,0.63
"CY4000003",21,1,2021,0.09
"CY4000003",22,3,2022,0.27
"CY4000004",4,29.5201622946624,2004,2.65681460651962
"CY4000004",5,10,2005,0.9
"CY4000004",6,8,2006,0.72
"CY4000004",7,13,2007,1.17
"CY4000004",8,17,2008,1.53
"CY4000004",10,9,2010,0.81
"CY4000004",11,0.203478589653969,2011,0.0183130730688572
"CY4000004",12,3,2012,0.27
"CY4000004",14,7,2014,0.63
